"","file","slot","period","summary","eval","t_s","variable"
"1","SystemConditions.rdf","SummaryOutputData.LBNormalCondition","asis",NA,NA,NA,"lbNormal"
"2","SystemConditions.rdf","SummaryOutputData.MidElevationReleaseAt823","asis",NA,NA,NA,"mer823"
"3","SystemConditions.rdf","SummaryOutputData.LBShortageConditions","asis",NA,NA,NA,"lbShortage"
"4","SystemConditions.rdf","SummaryOutputData.UpperBalancingBelow823","asis",NA,NA,NA,"uebLt823"
"5","SystemConditions.rdf","SummaryOutputData.LBSurplusConditions","asis",NA,NA,NA,"lbSurplus"
"6","SystemConditions.rdf","SummaryOutputData.EqualizationAt823","asis",NA,NA,NA,"eq823"
"7","SystemConditions.rdf","SummaryOutputData.UpperBalancingAbove823","asis",NA,NA,NA,"uebGt823"
"8","SystemConditions.rdf","SummaryOutputData.UpperBalancingAt823","asis",NA,NA,NA,"ueb823"
"9","SystemConditions.rdf","SummaryOutputData.MidElevationReleaseAt748","asis",NA,NA,NA,"mer748"
"10","SystemConditions.rdf","SummaryOutputData.EqualizationAbove823","asis",NA,NA,NA,"eq"
"11","SystemConditions.rdf","SummaryOutputData.LowerBalancingAbove823","asis",NA,NA,NA,"lebGt823"
"12","SystemConditions.rdf","SummaryOutputData.LowerBalancingBelow823","asis",NA,NA,NA,"lebLt823"
"13","SystemConditions.rdf","SummaryOutputData.LowerBalancingAt823","asis",NA,NA,NA,"leb823"
"14","SystemConditions.rdf","SummaryOutputData.LBFloodControlSurplus","asis",NA,NA,NA,"lbFcSurplus"
"15","SystemConditions.rdf","SummaryOutputData.LBShortageStep1","asis",NA,NA,NA,"lbShortageStep1"
"16","SystemConditions.rdf","SummaryOutputData.LBShortageStep2","asis",NA,NA,NA,"lbShortageStep2"
"17","SystemConditions.rdf","SummaryOutputData.LBShortageStep3","asis",NA,NA,NA,"lbShortageStep3"
